Date,Jellyfish,Plotosus,Sebastes,Trachurus,Girella,Pseudolabrus,Parajulis,Halichoeres,Chaenogobius,Pterogobius,Tridentiger,Siganus,Sphyraena,Rudarius
2002/6/1,106.2883413,49.91666667,42.79166667,304.4166667,14.08333333,7.291666667,6.375,7.041666667,23.10416667,6.520833333,19.1875,14.875,29.125,4.979166667
2003/6/1,7.520858135,95.08333333,16.95833333,128.3333333,12.75,10.45833333,2.833333333,4.583333333,1.458333333,16,17.5,0.791666667,0,6.333333333
2004/6/1,0.947569444,13.33333333,20.54166667,231.6666667,1.541666667,10.04166667,2.166666667,2.041666667,24.79166667,11.20833333,46.125,0.041666667,14.58333333,47.66666667
2005/6/1,16.1078125,54.16666667,15.83333333,122.9166667,22.20833333,9.833333333,0.916666667,2.041666667,14.75,124.25,60.875,6.166666667,7.5,13.125
2006/6/1,2.275520833,20.08333333,25.91666667,123.0833333,9.208333333,6.375,1.291666667,1.583333333,31.875,9.791666667,62.54166667,0.041666667,14,10.66666667
2007/6/1,5.822916667,0.208333333,44.79166667,211.2916667,13.70833333,6.75,3.791666667,10.95833333,0.333333333,0,30.79166667,7.5,11.04166667,17.25
2008/6/1,29.20494124,4.166666667,59.20833333,234.25,19.25,3.833333333,12.625,28.20833333,0,8.583333333,31.79166667,0.708333333,17.5,6.541666667
2009/6/1,33.00694445,6.375,51,135.2916667,21.54166667,5.25,12.375,26.16666667,0.208333333,7.416666667,15.45833333,0,0,12.83333333
2010/6/1,6.096688034,37.58333333,24.875,110.6666667,14.29166667,8.458333333,17.04166667,55.16666667,0,2.833333333,19.29166667,19.66666667,0,12.45833333
2011/6/1,6.450024802,6.25,20.04166667,125.625,1.291666667,5.708333333,7.041666667,26.20833333,4.166666667,0,35.45833333,0.041666667,9.708333333,2.916666667
2012/6/1,66.26328793,21.25,22,202.75,32.20833333,5.25,10.875,34.54166667,5.458333333,28.75,28.04166667,3.333333333,0.083333333,5.375
2013/6/1,3.375,30.95238095,39.47619048,168.0952381,16.47619048,8.952380952,14.28571429,11.61904762,0,5.523809524,7.428571429,2.285714286,0.571428571,4.619047619
